NPI 	10	NUMBER 	NPI 
Entity Type Code 	1	NUMBER 	Entity Type Code 
Replacement NPI 	10	NUMBER 	Replacement NPI 
Employer Identification Number (EIN) 	9	VARCHAR 	Employer Identification Number (EIN) 
Provider Organization Name (Legal Business Name) 	70	VARCHAR 	Provider Organization Name (Legal Business Name) 
Provider Last Name (Legal Name) 	35	VARCHAR 	Provider Last Name (Legal Name) 
Provider First Name 	20	VARCHAR 	Provider First Name 
Provider Middle Name 	20	VARCHAR 	Provider Middle Name 
Provider Name Prefix Text 	5	VARCHAR 	Provider Name Prefix Text 
Provider Name Suffix Text 	5	VARCHAR 	Provider Name Suffix Text 
Provider Credential Text 	20	VARCHAR 	Provider Credential Text 
Provider Other Organization Name 	70	VARCHAR 	Provider Other Organization Name 
Provider Other Organization Name Type Code 	1	VARCHAR 	Provider Other Organization Name Type Code 
Provider Other Last Name 	35	VARCHAR 	Provider Other Last Name 
Provider Other First Name 	20	VARCHAR 	Provider Other First Name 
Provider Other Middle Name 	20	VARCHAR 	Provider Other Middle Name 
Provider Other Name Prefix Text 	5	VARCHAR 	Provider Other Name Prefix Text 
Provider Other Name Suffix Text 	5	VARCHAR 	Provider Other Name Suffix Text 
Provider Other Credential Text 	20	VARCHAR 	Provider Other Name Credential Text 
Provider Other Last Name Type Code 	1	NUMBER 	Provider Other Last Name Type Code 
Provider First Line Business Mailing Address 	55	VARCHAR 	Provider First Line Business Mailing Address 
Provider Second Line Business Mailing Address 	55	VARCHAR 	Provider Second Line Business Mailing Address 
Provider Business Mailing Address City Name 	40	VARCHAR 	Provider Business Mailing Address City Name 
Provider Business Mailing Address State Name 	40	VARCHAR 	Provider Business Mailing Address State Name 
Provider Business Mailing Address Postal Code 	20	VARCHAR 	Provider Business Mailing Address Postal Code 
Provider Business Mailing Address Country Code (If outside U.S.) 	2	VARCHAR 	Provider Business Mailing Address Country Code (If outside U.S.) 
Provider Business Mailing Address Telephone Number 	20	VARCHAR 	Provider Business Mailing Address Telephone Number 
Provider Business Mailing Address Fax Number 	20	VARCHAR 	Provider Business Mailing Address Fax Number 
Provider First Line Business Practice Location Address 	55	VARCHAR 	Provider First Line Business Location Address 
Provider Second Line Business Practice Location Address 	55	VARCHAR 	Provider Second Line Business Location Address 
Provider Business Practice Location Address City Name 	40	VARCHAR 	Provider Business Location Address City Name 
Provider Business Practice Location Address State Name 	40	VARCHAR 	Provider Business Location Address State Name 
Provider Business Practice Location Address Postal Code 	20	VARCHAR 	Provider Business Location Address Postal Code 
Provider Business Practice Location Address Country Code (If outside U.S.) 	2	VARCHAR 	Provider Business Location Address Country Code (If outside U.S.) 
Provider Business Practice Location Address Telephone Number 	20	VARCHAR 	Provider Business Location Address Telephone Number 
Provider Business Practice Location Address Fax Number 	20	VARCHAR 	Provider Business Location Address Fax Number 
Provider Enumeration Date 	10 (MM/DD/YYYY) 	DATE 	Provider Enumeration Date 
Last Update Date 	10 (MM/DD/YYYY) 	DATE 	Last Update Date 
NPI Deactivation Reason Code 	2	VARCHAR 	NPI Deactivation Reason Code 
NPI Deactivation Date 	10 (MM/DD/YYYY) 	DATE 	NPI Deactivation Date 
NPI Reactivation Date 	10 (MM/DD/YYYY) 	DATE 	NPI Reactivation Date 
Provider Gender Code 	1	VARCHAR 	Provider Gender Code 
Authorized Official Last Name 	35	VARCHAR 	Authorized Official Last Name 
Authorized Official First Name 	20	VARCHAR 	Authorized Official First Name 
Authorized Official Middle Name 	20	VARCHAR 	Authorized Official Middle Name 
Authorized Official Title or Position 	35	VARCHAR 	Authorized Official Title or Position 
Authorized Official Telephone Number 	20	VARCHAR 	Authorized Official Telephone Number 
Healthcare Provider Taxonomy Code_1 	10	VARCHAR 	Healthcare Provider Taxonomy Code 
Provider License Number_1 	20	VARCHAR 	Provider License Number 
Provider License Number State Code_1 	2	VARCHAR 	Provider License Number State Code 
Healthcare Provider Primary Taxonomy Switch_1 	1	VARCHAR 	
Healthcare Provider Taxonomy Code_2 	10	VARCHAR 	Healthcare Provider Taxonomy Code 
Provider License Number_2 	20	VARCHAR 	Provider License Number 
Provider License Number State Code_2 	2	VARCHAR 	Provider License Number State Code 
Healthcare Provider Primary Taxonomy Switch_2 	1	VARCHAR 	
Healthcare Provider Taxonomy Code_3 	10	VARCHAR 	Healthcare Provider Taxonomy Code 
Provider License Number_3 	20	VARCHAR 	Provider License Number 
Provider License Number State Code_3 	2	VARCHAR 	Provider License Number State Code 
Healthcare Provider Primary Taxonomy Switch_3 	1	VARCHAR 	
Healthcare Provider Taxonomy Code_4 	10	VARCHAR 	Healthcare Provider Taxonomy Code 
Provider License Number_4 	20	VARCHAR 	Provider License Number 
Provider License Number State Code_4 	2	VARCHAR 	Provider License Number State Code 
Healthcare Provider Primary Taxonomy Switch_4 	1	VARCHAR 	
Healthcare Provider Taxonomy Code_5 	10	VARCHAR 	Healthcare Provider Taxonomy Code 
